LOCUS_NAME	PHENOTYPE	Term	Label
AT3G27920	"extreme hypersensitivity of seedlings and roots to both UV-B and UV-C radiation under nonphotoreactivating conditions but intermediate hypersensitivity under photoreactivating conditions; extreme hypersensitivity of seeds to ionizing radiation; plants show chlorosis, wilting and extensive cell death following exposure of leaves to small acute fluences of UV radiation that does not affect wt plants; irradiation of seeds with gamma rays inhibits the production of the first true leaves at lower doses than required for wt plants; lacks trichomes on stems and leaves, some trichomes in leaf margins."	TO:0000160	UV light sensitivity
AT3G27920	"extreme hypersensitivity of seedlings and roots to both UV-B and UV-C radiation under nonphotoreactivating conditions but intermediate hypersensitivity under photoreactivating conditions; extreme hypersensitivity of seeds to ionizing radiation; plants show chlorosis, wilting and extensive cell death following exposure of leaves to small acute fluences of UV radiation that does not affect wt plants; irradiation of seeds with gamma rays inhibits the production of the first true leaves at lower doses than required for wt plants; lacks trichomes on stems and leaves, some trichomes in leaf margins."	TO:0006066	leaf trichome density
AT2G37630	"The rosette leaf petioles of the triple mutant plants showed extensive ectopic outgrowth  formation in the marginal region, and  some outgrowths exhibited a strongly radialized character."	TO:0000767	petiole shape
AT1G04110	Increased stomatal density	TO:0000566	leaf stomatal complex frequency
AT3G25140	Severe dwarf with misshapen morphology.	TO:1000012	whole plant size
AT3G25140	Severe dwarf with misshapen morphology.	TO:0000207	plant height
AT3G25140	Severe dwarf with misshapen morphology.	TO:0000077	shoot system morphology trait
AT3G52480	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:increased,cold:no change,oxidative stress:no change,osmotic stress:increased,salt stress:no change,ABA:no change,hypoxia:ND."	TO:0000259	heat tolerance
AT3G52480	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:increased,cold:no change,oxidative stress:no change,osmotic stress:increased,salt stress:no change,ABA:no change,hypoxia:ND."	TO:0000095	osmotic response sensitivity
AT4G09020	Increased &#945;-amylase activity.	TO:0000703	amylase activity trait
AT5G43900	"There are no obvious defects in the aerial tissues of xi-2 mutant plants grown under normal conditions. The root length of the mutant is also normal, but, it has shorter roots hairs than wild-type plants."	TO:0002665	root hair length
AT2G22300	Small plants. Elevated salicylic acid (SA) and salicylic acid glucoside (SAG) levels as well as transcript levels of SA pathway genes when grown at 22C. Impaired cold induction of CBF genes and freezing tolerance.	TO:1000012	whole plant size
AT2G22300	Small plants. Elevated salicylic acid (SA) and salicylic acid glucoside (SAG) levels as well as transcript levels of SA pathway genes when grown at 22C. Impaired cold induction of CBF genes and freezing tolerance.	TO:0020076	phenolic compound content
AT2G22300	Small plants. Elevated salicylic acid (SA) and salicylic acid glucoside (SAG) levels as well as transcript levels of SA pathway genes when grown at 22C. Impaired cold induction of CBF genes and freezing tolerance.	TO:0000303	cold tolerance
AT4G32540	"This triple mutant fails to produce cotyledons, a defect that can first be observed at the early heart embryo developmental stage. True leaves develop, but show aberrant phyllotaxy. The mutant forms a normal hypocotyl and roots and produces a normal apical hook in the dark."	TO:0000751	seedling cotyledon number
AT4G32540	"This triple mutant fails to produce cotyledons, a defect that can first be observed at the early heart embryo developmental stage. True leaves develop, but show aberrant phyllotaxy. The mutant forms a normal hypocotyl and roots and produces a normal apical hook in the dark."	TO:0006014	phyllotaxy
AT2G35510	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:ND,cold:ND,oxidative stress:ND,osmotic stress:increased,salt stress:no change,ABA:no change,hypoxia:ND."	TO:0000095	osmotic response sensitivity
AT5G40330	"Patterning of trichomes is not affected.  However, there is reduced trichome branching with respect to the wild type, Columbia."	TO:0000911	trichome morphology trait
AT2G38100	Reduced nitrogen content in embryos.	TO:0020093	nitrogen content
AT4G11650	Reduced ABA responses in seeds and leaves.	TO:0000615	abscisic acid sensitivity
AT3G61950	Plants subjected to cold exhibited higher survival rate.	TO:0000303	cold tolerance
AT2G26330	short stature	TO:0000207	plant height
AT2G46770	The ectopic formation of secondary walls normally seen in the ful mutant is suppressed in the double mutant.	NA	NA
AT3G62980	root elongation is significantly less inhibited by auxin compared to WT; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are smaller and inflorescences are shorter and slightly more branched than those of WT; many siliques have incomplete valves	TO:0000163	auxin sensitivity
AT3G62980	root elongation is significantly less inhibited by auxin compared to WT; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are smaller and inflorescences are shorter and slightly more branched than those of WT; many siliques have incomplete valves	TO:0002637	leaf size
AT3G62980	root elongation is significantly less inhibited by auxin compared to WT; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are smaller and inflorescences are shorter and slightly more branched than those of WT; many siliques have incomplete valves	TO:0000271	inflorescence length
AT3G62980	root elongation is significantly less inhibited by auxin compared to WT; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are smaller and inflorescences are shorter and slightly more branched than those of WT; many siliques have incomplete valves	TO:0000050	inflorescence branching
AT3G62980	root elongation is significantly less inhibited by auxin compared to WT; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are smaller and inflorescences are shorter and slightly more branched than those of WT; many siliques have incomplete valves	TO:0000043	root morphology trait
AT3G62980	root elongation is significantly less inhibited by auxin compared to WT; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are smaller and inflorescences are shorter and slightly more branched than those of WT; many siliques have incomplete valves	TO:0001086	silique fruit morphology trait
AT1G79040	Similar amount of PSI and PSII centers while wildtype plants have less PSI centers.	TO:0000387	plant trait
AT1G27320	Shorter hypocotyls than wild-type when grown in white light but increase in length when grown in darkness (~25%) and red- and far-red-light.	TO:0006065	seedling hypocotyl length
AT1G27320	Shorter hypocotyls than wild-type when grown in white light but increase in length when grown in darkness (~25%) and red- and far-red-light.	TO:0000158	red light sensitivity
AT1G27320	Shorter hypocotyls than wild-type when grown in white light but increase in length when grown in darkness (~25%) and red- and far-red-light.	TO:0000130	far red light sensitivity
AT1G53700	"Morphologically similar to double mutant wag1-1/wag2-1. When seedlings were grown on vertical plates, root exhibited pronounced wavy pattern. Gravitropism was not affected in mutant plants. Double mutant plants were more resistant to inhibition of root curling by auxin transport inhibitor NPA than wild type plants."	TO:0000043	root morphology trait
AT3G15880	small plant	TO:1000012	whole plant size
AT2G45160	"Arrest and differentiation of axillary meristems, altered leaf morphology, abnormal phyllotaxis, reduced elongation of the primary root."	TO:0006016	meristem tissue development trait
AT2G45160	"Arrest and differentiation of axillary meristems, altered leaf morphology, abnormal phyllotaxis, reduced elongation of the primary root."	TO:0006014	phyllotaxy
AT2G45160	"Arrest and differentiation of axillary meristems, altered leaf morphology, abnormal phyllotaxis, reduced elongation of the primary root."	TO:0000748	leaf morphology trait
AT2G45160	"Arrest and differentiation of axillary meristems, altered leaf morphology, abnormal phyllotaxis, reduced elongation of the primary root."	TO:0000227	root length
AT1G01770	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:no change,cold:no change,oxidative stress:decreased,osmotic stress:no change,salt stress:no change,ABA:no change,hypoxia:increased."	TO:0002657	oxidative stress
AT1G01770	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:no change,cold:no change,oxidative stress:decreased,osmotic stress:no change,salt stress:no change,ABA:no change,hypoxia:increased."	TO:0000015	oxygen sensitivity
AT5G11530	"Phenotype resembles the emf1-2 single mutant. Semi-open, small petioleless,oval shaped cotyledons and short hypocotyl and leaf primordia."	TO:0000749	cotyledon morphology trait
AT5G11530	"Phenotype resembles the emf1-2 single mutant. Semi-open, small petioleless,oval shaped cotyledons and short hypocotyl and leaf primordia."	TO:0006065	seedling hypocotyl length
AT5G03160	embryo lethal.	TO:0000620	plant embryo develoment trait
AT2G31400	Strong enhancements of the gun phenotype: Lhcb1*2-GUS expression in the double mutants was ~fivefold higher than the single mutants and was about 11-17% of that observed in  nonphotobleached wild-type plants. The endogenous Lhcb1 mRNA levels were also  derepressed synergistically in the double mutants.	TO:0000387	plant trait
AT5G04930	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:no change,cold:no change,oxidative stress:no change,osmotic stress:decreased,salt stress:no change,ABA:no change,hypoxia:no change."	TO:0000095	osmotic response sensitivity
AT3G59420	Increased number of lateral root meristems initate.	TO:0001013	lateral root number
AT4G34110	Serrated-dentated leaf margins; increased number of leaves; delayed flowering; increased width and size of siliques; reduced inflorescence length (stunted).	TO:0006063	leaf margin serrated
AT4G34110	Serrated-dentated leaf margins; increased number of leaves; delayed flowering; increased width and size of siliques; reduced inflorescence length (stunted).	TO:0000682	inflorescence height
AT4G34110	Serrated-dentated leaf margins; increased number of leaves; delayed flowering; increased width and size of siliques; reduced inflorescence length (stunted).	TO:0000241	leaf number
AT4G34110	Serrated-dentated leaf margins; increased number of leaves; delayed flowering; increased width and size of siliques; reduced inflorescence length (stunted).	TO:0000344	days to flowering trait
AT4G34110	Serrated-dentated leaf margins; increased number of leaves; delayed flowering; increased width and size of siliques; reduced inflorescence length (stunted).	TO:0001086	silique fruit morphology trait
AT5G55800	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:decreased,cold:no change,oxidative stress:no change,osmotic stress:increased,salt stress:no change,ABA:no change,hypoxia:ND."	TO:0000259	heat tolerance
AT5G55800	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:decreased,cold:no change,oxidative stress:no change,osmotic stress:increased,salt stress:no change,ABA:no change,hypoxia:ND."	TO:0000095	osmotic response sensitivity
AT1G69120	"strong allele; homeotic conversion of sepals (first whorl) to bracts, many secondary and tertiary flowers are formed in the axils of the transformed sepals; petals (second whorl) usually absent but are occasionally replaced by stamens or petal-stamen-bract-l ike mosaic; phenotype varies acropetally, with more complete flower-to-inflorescence conversions in basal flowers and at low temperature."	TO:0000499	flower morphology trait
AT1G69120	"strong allele; homeotic conversion of sepals (first whorl) to bracts, many secondary and tertiary flowers are formed in the axils of the transformed sepals; petals (second whorl) usually absent but are occasionally replaced by stamens or petal-stamen-bract-l ike mosaic; phenotype varies acropetally, with more complete flower-to-inflorescence conversions in basal flowers and at low temperature."	TO:0002613	reproductive homeotic development trait
AT1G67370	"Despite no apparent defect in DNA double-strand breaks formation in asy1, DNA cross-over  formation is severely compromised."	NA	NA
AT2G31770	Late flowering.Decreased freezing tolerance.	TO:0000344	days to flowering trait
AT2G31770	Late flowering.Decreased freezing tolerance.	TO:0000303	cold tolerance
AT2G45770	"yellow-green and reduced plant height; thin, short stems."	TO:0000207	plant height
AT2G45770	"yellow-green and reduced plant height; thin, short stems."	TO:0000708	plant color
AT2G45770	"yellow-green and reduced plant height; thin, short stems."	TO:0000576	stem length
AT2G45770	"yellow-green and reduced plant height; thin, short stems."	TO:0001035	stem width
AT5G43270	"Delayed vegetative phase change. Increased rate of leaf initiation. More severe vegetative phenotype than 35S::MIR156A (CS67849). Delayed flowering time, equal to 35S::MIR156A."	TO:0006021	vegetative to reproductive phase transition trait
AT5G43270	"Delayed vegetative phase change. Increased rate of leaf initiation. More severe vegetative phenotype than 35S::MIR156A (CS67849). Delayed flowering time, equal to 35S::MIR156A."	TO:0000369	vegetative growth time
AT5G43270	"Delayed vegetative phase change. Increased rate of leaf initiation. More severe vegetative phenotype than 35S::MIR156A (CS67849). Delayed flowering time, equal to 35S::MIR156A."	TO:0000344	days to flowering trait
AT3G22275	"robust resistance to insect herbivores and fungal pathogens, accompanied by slow vegetative growth and poor reproductive performance; seed production about one-third of WT levels and reduced germination"	TO:0000439	fungal disease response
AT3G22275	"robust resistance to insect herbivores and fungal pathogens, accompanied by slow vegetative growth and poor reproductive performance; seed production about one-third of WT levels and reduced germination"	TO:0000261	insect damage response trait
AT3G22275	"robust resistance to insect herbivores and fungal pathogens, accompanied by slow vegetative growth and poor reproductive performance; seed production about one-third of WT levels and reduced germination"	TO:0000296	vegetative vigor
AT3G22275	"robust resistance to insect herbivores and fungal pathogens, accompanied by slow vegetative growth and poor reproductive performance; seed production about one-third of WT levels and reduced germination"	TO:0000445	fruit seed number
AT3G22275	"robust resistance to insect herbivores and fungal pathogens, accompanied by slow vegetative growth and poor reproductive performance; seed production about one-third of WT levels and reduced germination"	TO:0000430	germination rate
